,weathersit,day,dteday,temp_celsius,windspeed_kh,atemp,hum,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt
0,2,1,01/01/2011,14.110847,10.749882000000001,0.363625,80.5833,1,0,1,0,6,0,331,654,985
1,2,2,02/01/2011,14.902598000000001,16.652113,0.35373899999999997,69.6087,1,0,1,0,0,0,131,670,801
2,1,3,03/01/2011,8.050924,16.636703,0.189405,43.7273,1,0,1,0,1,1,120,1229,1349
3,1,4,04/01/2011,8.2,10.739832,0.21212199999999998,59.0435,1,0,1,0,2,1,108,1454,1562
4,1,5,05/01/2011,9.305237,12.5223,0.22926999999999997,43.6957,1,0,1,0,3,1,82,1518,1600
5,1,6,06/01/2011,8.378267999999998,6.0008684,0.23320900000000003,51.8261,1,0,1,0,4,1,88,1518,1606
6,2,7,07/01/2011,8.057402,11.304642,0.208839,49.8696,1,0,1,0,5,1,148,1362,1510
7,2,8,08/01/2011,6.765,17.875868,0.162254,53.5833,1,0,1,0,6,0,68,891,959
8,1,9,09/01/2011,5.671653,24.25065,0.116175,43.4167,1,0,1,0,0,0,54,768,822
9,1,10,10/01/2011,6.184153,14.958889000000001,0.15088800000000002,48.2917,1,0,1,0,1,1,41,1280,1321
10,2,11,11/01/2011,6.9327309999999995,8.182844000000001,0.19146400000000002,68.6364,1,0,1,0,2,1,43,1220,1263
11,1,12,12/01/2011,7.081807,20.410009,0.160473,59.9545,1,0,1,0,3,1,25,1137,1162
12,1,13,13/01/2011,6.765,20.167,0.150883,47.0417,1,0,1,0,4,1,38,1368,1406
13,1,14,14/01/2011,6.59567,8.478716,0.188413,53.7826,1,0,1,0,5,1,54,1367,1421
14,2,15,15/01/2011,9.566653,10.583521000000001,0.248112,49.875,1,0,1,0,6,0,222,1026,1248
15,1,16,16/01/2011,9.498347,12.625011,0.234217,48.375,1,0,1,0,0,0,251,953,1204
16,2,17,17/01/2011,7.209153,12.999139,0.176771,53.75,1,0,1,1,1,0,117,883,1000
17,2,18,18/01/2011,8.883347,9.833925,0.23233299999999998,86.1667,1,0,1,0,2,1,9,674,683
18,2,19,19/01/2011,11.979134,13.957239000000001,0.29842199999999997,74.1739,1,0,1,0,3,1,78,1572,1650
19,2,20,20/01/2011,10.728347,13.125568,0.25505,53.8333,1,0,1,0,4,1,83,1844,1927
20,1,21,21/01/2011,7.2775,23.667214,0.157833,45.7083,1,0,1,0,5,1,75,1468,1543
